@relation 'Station 46001_X150.214.94.234.71.3.28.48_2.arff'

@attribute pres numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute WVHT numeric
@attribute DPD numeric
@attribute APD numeric
@attribute MWD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute VIS numeric
@attribute TIDE numeric
@attribute WDIR numeric

@data
100280,0.536585,0.459649,0.205937,0.575107,0.390525,?,0.713914,0.41206,0.046296,?,?,?,0.247911
99600,0.634146,0.554386,0.296846,0.240956,0.382843,?,0.647594,0.502513,0.055556,?,?,?,0.211699
99140,0.712195,0.642105,0.334879,0.445126,0.432778,?,0.573472,0.557789,0.055556,?,?,?,0.272981
99100,0.580488,0.547368,0.470315,0.622931,0.599232,?,0.53316,0.547739,0.055556,?,?,?,0.300836
99350,0.439024,0.410526,0.368275,0.575107,0.580026,?,0.543563,0.532663,0.055556,?,?,?,0.398329
99850,0.385366,0.326316,0.380334,0.677498,0.679898,?,0.609883,0.467337,0.055556,?,?,?,0.384401
100170,0.370732,0.322807,0.358071,0.622931,0.670935,?,0.660598,0.517588,0.055556,?,?,?,0.339833
100200,0.302439,0.291228,0.358071,0.740037,0.717029,?,0.685306,0.452261,0.055556,?,?,?,0.303621
99930,0.390244,0.361404,0.294063,0.622931,0.622279,?,0.663199,0.522613,0.055556,?,?,?,0.261838
99620,0.526829,0.501754,0.329314,0.575107,0.535211,?,0.617685,0.517588,0.055556,?,?,?,0.233983
99290,0.653659,0.603509,0.321892,0.575107,0.453265,?,0.589077,0.537688,0.055556,?,?,?,0.284123
98770,0.639024,0.568421,0.346011,0.389332,0.443022,?,0.53316,0.532663,0.055556,?,?,?,0.21727
98140,0.721951,0.610526,0.413729,0.494788,0.49936,?,0.457737,0.562814,0.055556,?,?,?,0.211699
97520,0.75122,0.673684,0.465677,0.389332,0.553137,?,0.381014,0.603015,0.055556,?,?,?,0.208914
97490,0.643902,0.575439,0.453618,0.575107,0.564661,?,0.364109,0.577889,0.055556,?,?,?,0.24234
97190,0.629268,0.540351,0.44898,0.622931,0.609475,?,0.322497,0.567839,0.055556,?,?,?,0.250696
96980,0.658537,0.585965,0.418367,0.622931,0.569782,?,0.288687,0.572864,0.055556,?,?,?,0.261838
97430,0.609756,0.529825,0.35436,0.622931,0.487836,?,0.276983,0.547739,0.055556,?,?,?,0.331476
98630,0.64878,0.585965,0.346939,0.575107,0.46863,?,0.420026,0.547739,0.055556,?,?,?,0.442897
99160,0.653659,0.564912,0.424861,0.389332,0.49936,?,0.517555,0.562814,0.055556,?,?,?,0.37883
99050,0.482927,0.424561,0.426716,0.575107,0.597951,?,0.542263,0.532663,0.055556,?,?,?,0.311978
98560,0.312195,0.298246,0.305195,0.532802,0.565941,?,0.469441,0.512563,0.055556,?,?,?,0.192201
98460,0.434146,0.396491,0.284787,0.532802,0.482714,?,0.403121,0.487437,0.046296,?,?,?,0.019499
98940,0.453659,0.407018,0.273655,0.445126,0.464789,?,0.427828,0.477387,0.046296,?,?,?,0.75766
99170,0.258537,0.224561,0.289425,0.575107,0.629962,?,0.521456,0.502513,0.046296,?,?,?,0.501393
98520,0.370732,0.329825,0.25974,0.532802,0.56338,?,0.485046,0.517588,0.055556,?,?,?,0.220056
