@relation 'Station 46001_2.arff'

@attribute csulf numeric
@attribute pres numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute DPD numeric
@attribute APD numeric
@attribute MWD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute VIS numeric
@attribute TIDE numeric
@attribute WVHT numeric

@data
246,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
245,45070,?,?,?,?,?,?,?,?,?,?,?,?,?
241,91150,?,?,?,?,?,?,?,?,?,?,?,?,?
241,92390,?,?,?,?,?,?,?,?,?,?,?,?,?
241,93230,?,?,?,?,?,?,?,?,?,?,?,?,?
243,91270,?,?,?,?,?,?,?,?,?,?,?,?,?
244,93400,?,?,?,?,?,?,?,?,?,?,?,?,?
245,93400,?,?,?,?,?,?,?,?,?,?,?,?,?
246,93550,?,?,?,?,?,?,?,?,?,?,?,?,?
246,93940,?,?,?,?,?,?,?,?,?,?,?,?,?
244,95080,?,?,?,?,?,?,?,?,?,?,?,?,?
242,91690,?,?,?,?,?,?,?,?,?,?,?,?,?
240,93420,?,?,?,?,?,?,?,?,?,?,?,?,?
240,95590,?,?,?,?,?,?,?,?,?,?,?,?,?
241,96390,?,?,?,?,?,?,?,?,?,?,?,?,?
241,93490,?,?,?,?,?,?,?,?,?,?,?,?,?
239,93320,?,?,?,?,?,?,?,?,?,?,?,?,?
238,92160,?,?,?,?,?,?,?,?,?,?,?,?,?
241,86870,?,?,?,?,?,?,?,?,?,?,?,?,?
248,46270,?,?,?,?,?,?,?,?,?,?,?,?,?
250,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
251,89870,?,?,?,?,?,?,?,?,?,?,?,?,?
251,87560,?,?,?,?,?,?,?,?,?,?,?,?,?
251,92620,?,?,?,?,?,?,?,?,?,?,?,?,?
250,88920,?,?,?,?,?,?,?,?,?,?,?,?,?
243,88610,?,?,?,?,?,?,?,?,?,?,?,?,?
238,86300,?,?,?,?,?,?,?,?,?,?,?,?,?
239,90460,?,?,?,?,?,?,?,?,?,?,?,?,?
240,88050,?,?,?,?,?,?,?,?,?,?,?,?,?
236,89780,?,?,?,?,?,?,?,?,?,?,?,?,?
237,84140,?,?,?,?,?,?,?,?,?,?,?,?,?
242,84090,?,?,?,?,?,?,?,?,?,?,?,?,?
242,83920,?,?,?,?,?,?,?,?,?,?,?,?,?
239,84770,?,?,?,?,?,?,?,?,?,?,?,?,?
238,87360,?,?,?,?,?,?,?,?,?,?,?,?,?
237,85690,?,?,?,?,?,?,?,?,?,?,?,?,?
236,85420,?,?,?,?,?,?,?,?,?,?,?,?,?
235,86520,?,?,?,?,?,?,?,?,?,?,?,?,?
237,87960,?,?,?,?,?,?,?,?,?,?,?,?,?
240,89260,?,?,?,?,?,?,?,?,?,?,?,?,?
243,90410,?,?,?,?,?,?,?,?,?,?,?,?,?
246,91140,?,?,?,?,?,?,?,?,?,?,?,?,?
248,95030,?,?,?,?,?,?,?,?,?,?,?,?,?
245,96280,?,?,?,?,?,?,?,?,?,?,?,?,?
243,91760,?,?,?,?,?,?,?,?,?,?,?,?,?
247,89700,?,?,?,?,?,?,?,?,?,?,?,?,?
246,92520,?,?,?,?,?,?,?,?,?,?,?,?,?
247,95250,?,?,?,?,?,?,?,?,?,?,?,?,?
239,89960,?,?,?,?,?,?,?,?,?,?,?,?,?
235,88790,?,?,?,?,?,?,?,?,?,?,?,?,?
235,89840,?,?,?,?,?,?,?,?,?,?,?,?,?
241,86320,?,?,?,?,?,?,?,?,?,?,?,?,?
241,90720,?,?,?,?,?,?,?,?,?,?,?,?,?
239,93230,?,?,?,?,?,?,?,?,?,?,?,?,?
240,95850,?,?,?,?,?,?,?,?,?,?,?,?,?
242,86940,?,?,?,?,?,?,?,?,?,?,?,?,?
246,88310,?,?,?,?,?,?,?,?,?,?,?,?,?
250,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
253,86980,?,?,?,?,?,?,?,?,?,?,?,?,?
249,96060,?,?,?,?,?,?,?,?,?,?,?,?,?
240,95950,?,?,?,?,?,?,?,?,?,?,?,?,?
234,92430,?,?,?,?,?,?,?,?,?,?,?,?,?
237,87760,?,?,?,?,?,?,?,?,?,?,?,?,?
244,88570,?,?,?,?,?,?,?,?,?,?,?,?,?
241,91710,?,?,?,?,?,?,?,?,?,?,?,?,?
240,91550,?,?,?,?,?,?,?,?,?,?,?,?,?
240,92990,?,?,?,?,?,?,?,?,?,?,?,?,?
244,90520,?,?,?,?,?,?,?,?,?,?,?,?,?
249,89420,?,?,?,?,?,?,?,?,?,?,?,?,?
255,89210,?,?,?,?,?,?,?,?,?,?,?,?,?
254,88610,?,?,?,?,?,?,?,?,?,?,?,?,?
251,88490,?,?,?,?,?,?,?,?,?,?,?,?,?
250,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
251,88860,?,?,?,?,?,?,?,?,?,?,?,?,?
247,42340,?,?,?,?,?,?,?,?,?,?,?,?,?
242,86870,?,?,?,?,?,?,?,?,?,?,?,?,?
243,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
243,87970,?,?,?,?,?,?,?,?,?,?,?,?,?
241,44070,?,?,?,?,?,?,?,?,?,?,?,?,?
236,88190,?,?,?,?,?,?,?,?,?,?,?,?,?
236,87950,?,?,?,?,?,?,?,?,?,?,?,?,?
239,87880,?,?,?,?,?,?,?,?,?,?,?,?,?
244,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
245,44120,?,?,?,?,?,?,?,?,?,?,?,?,?
244,90470,?,?,?,?,?,?,?,?,?,?,?,?,?
240,92510,?,?,?,?,?,?,?,?,?,?,?,?,?
237,89080,?,?,?,?,?,?,?,?,?,?,?,?,?
237,46590,?,?,?,?,?,?,?,?,?,?,?,?,?
237,89620,?,?,?,?,?,?,?,?,?,?,?,?,?
237,87190,?,?,?,?,?,?,?,?,?,?,?,?,?
237,86420,?,?,?,?,?,?,?,?,?,?,?,?,?
238,85230,?,?,?,?,?,?,?,?,?,?,?,?,?
239,82050,?,?,?,?,?,?,?,?,?,?,?,?,?
240,84460,?,?,?,?,?,?,?,?,?,?,?,?,?
241,44660,?,?,?,?,?,?,?,?,?,?,?,?,?
242,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
241,90000,?,?,?,?,?,?,?,?,?,?,?,?,?
239,93170,?,?,?,?,?,?,?,?,?,?,?,?,?
244,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
245,45210,?,?,?,?,?,?,?,?,?,?,?,?,?
242,46630,?,?,?,?,?,?,?,?,?,?,?,?,?
240,88250,?,?,?,?,?,?,?,?,?,?,?,?,?
245,89790,?,?,?,?,?,?,?,?,?,?,?,?,?
248,94110,?,?,?,?,?,?,?,?,?,?,?,?,?
244,95090,?,?,?,?,?,?,?,?,?,?,?,?,?
238,90430,?,?,?,?,?,?,?,?,?,?,?,?,?
238,87930,?,?,?,?,?,?,?,?,?,?,?,?,?
239,85460,?,?,?,?,?,?,?,?,?,?,?,?,?
245,86040,?,?,?,?,?,?,?,?,?,?,?,?,?
244,87920,?,?,?,?,?,?,?,?,?,?,?,?,?
243,91070,?,?,?,?,?,?,?,?,?,?,?,?,?
246,90050,?,?,?,?,?,?,?,?,?,?,?,?,?
247,92700,?,?,?,?,?,?,?,?,?,?,?,?,?
244,95680,?,?,?,?,?,?,?,?,?,?,?,?,?
244,95250,?,?,?,?,?,?,?,?,?,?,?,?,?
247,48240,?,?,?,?,?,?,?,?,?,?,?,?,?
242,96950,?,?,?,?,?,?,?,?,?,?,?,?,?
236,91100,?,?,?,?,?,?,?,?,?,?,?,?,?
234,84450,?,?,?,?,?,?,?,?,?,?,?,?,?
234,86430,?,?,?,?,?,?,?,?,?,?,?,?,?
243,88760,?,?,?,?,?,?,?,?,?,?,?,?,?
251,94870,?,?,?,?,?,?,?,?,?,?,?,?,?
245,91400,?,?,?,?,?,?,?,?,?,?,?,?,?
246,89900,?,?,?,?,?,?,?,?,?,?,?,?,?
247,89350,?,?,?,?,?,?,?,?,?,?,?,?,?
246,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
242,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
242,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
239,-9969209968386869000000000000000000000,?,?,?,?,?,?,?,?,?,?,?,?,?
