@relation ns.arff

@attribute DATE numeric
@attribute WDIR numeric
@attribute WSPD numeric
@attribute GST numeric
@attribute WVHT numeric
@attribute DPD numeric
@attribute APD numeric
@attribute MWD numeric
@attribute PRES numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute VIS numeric
@attribute TIDE numeric

@data
1326336600,192,8.8,10.9,4.94,13.79,8.69,?,1000.1,4.2,4,?,?,?
1326340200,191,7,9.3,4.84,13.79,8.84,?,1000.3,4.1,4,?,?,?
1326343800,208,6.9,8.8,4.85,12.9,8.57,?,1000.4,4.1,4,?,?,?
1326347400,214,7.5,9,4.74,12.9,8.7,?,1000.2,4,4,?,?,?
1326351000,250,7.7,9.4,5.24,12.12,8.76,?,1000.4,2.8,4,?,?,?
1326354600,247,8.9,10.8,4.66,13.79,8.4,?,1000.6,2.3,4,?,?,?
1326358200,253,9.4,11.9,4.81,14.81,8.44,?,1000.8,1.9,4,?,?,?
1326361800,255,12.2,15,4.51,12.9,8.3,?,1000,2.1,4,?,?,?
1326365400,322,9.4,11.3,4.61,14.81,7.75,?,1000.3,2.2,4,?,?,?
1326369000,273,15.3,19.4,4.71,12.9,7.46,?,1001.3,-0.1,4,?,?,?
1326372600,269,14.9,18.1,5.11,11.43,7.65,?,1002.2,-1,4,?,?,?
1326376200,267,14.8,17.8,4.95,10,7.39,?,1002.8,-1.8,3.9,?,?,?
1326379800,263,15.4,18.3,5.53,12.12,7.85,?,1003.2,-1.9,3.9,?,?,?
1326383400,263,13.1,16.5,5.48,10,7.86,?,1003.9,-2.2,3.9,?,?,?
1326387000,266,13.9,17.1,5,12.12,7.69,?,1004.6,-1.8,4,?,?,?
1326390600,267,13.9,17.4,5.18,11.43,7.46,?,1005.6,-1.6,4,?,?,?
1326394200,263,14.2,17.1,5.57,12.9,8.18,?,1006.7,-1.9,4,?,?,?
1326397800,260,15,18.4,5.37,12.12,7.83,?,1007.9,-3.1,4,?,?,?
1326401400,266,15.7,19.7,5.85,12.9,7.79,?,1008.8,-4.2,4,?,?,?
1326405000,251,16.1,20.2,5.73,11.43,7.61,?,1009.1,-4.3,4,?,?,?
1326408600,252,16.5,20.7,5.98,12.12,7.86,?,1009,-4.8,4,?,?,?
1326412200,252,16,20.2,6.24,9.09,7.96,?,1008.9,-5.3,4,?,?,?
1326415800,249,16.8,20.8,5.69,10.81,7.63,?,1008.7,-5.4,4,?,?,?
1326419400,264,16.1,20.6,6.23,12.12,7.99,?,1008.7,-5.4,4,?,?,?
1326423000,246,12.7,15.6,5.27,12.12,7.68,?,1008.5,-5,4,?,?,?
1326426600,265,11.3,14.6,6.14,12.12,8.4,?,1008.6,-4.3,4,?,?,?
1326430200,311,10.1,12.6,5.25,10.81,7.87,?,1009.7,-5.1,3.9,?,?,?
1326433800,310,10.3,13.7,5.14,11.43,7.69,?,1010.5,-4.2,3.9,?,?,?
