#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 09 03 50 999 99.0 99.0  3.17  9.09  6.80 999 1005.2 999.0   6.6 999.0 99.0 99.00
2015 01 09 04 50 999 99.0 99.0  3.38 10.00  6.93 999 1005.1 999.0   6.6 999.0 99.0 99.00
2015 01 09 05 50 999 99.0 99.0  3.31 10.81  6.68 999 1005.4 999.0   6.6 999.0 99.0 99.00
2015 01 09 06 50 999 99.0 99.0  3.68 10.81  6.93 999 1005.3 999.0   6.6 999.0 99.0 99.00
2015 01 09 07 50 999 99.0 99.0  3.58 10.00  6.99 999 1005.3 999.0   6.6 999.0 99.0 99.00
2015 01 09 08 50 999 99.0 99.0  3.22 10.00  6.53 999 1005.2 999.0   6.7 999.0 99.0 99.00
2015 01 09 09 50 999 99.0 99.0  3.28 10.00  6.73 999 1005.1 999.0   6.8 999.0 99.0 99.00
2015 01 09 10 50 999 99.0 99.0  3.22 10.00  6.68 999 1005.2 999.0   6.8 999.0 99.0 99.00
2015 01 09 11 50 999 99.0 99.0  3.49 10.00  6.99 999 1005.3 999.0   6.8 999.0 99.0 99.00
2015 01 09 12 50 999 99.0 99.0  3.44 10.81  7.33 999 1005.3 999.0   6.8 999.0 99.0 99.00
2015 01 09 13 50 999 99.0 99.0  2.82  8.33  6.62 999 1005.4 999.0   6.8 999.0 99.0 99.00
2015 01 09 14 50 999 99.0 99.0  2.90 11.43  7.05 999 1005.6 999.0   6.8 999.0 99.0 99.00
2015 01 09 15 50 999 99.0 99.0  3.10 10.81  7.28 999 1005.7 999.0   6.7 999.0 99.0 99.00
2015 01 09 16 50 999 99.0 99.0  3.23  9.09  7.24 999 1005.8 999.0   6.7 999.0 99.0 99.00
2015 01 09 17 50 999 99.0 99.0  3.08  9.09  7.11 999 1006.3 999.0   6.8 999.0 99.0 99.00
2015 01 09 18 50 999 99.0 99.0  2.87 11.43  7.15 999 1006.7 999.0   6.8 999.0 99.0 99.00
2015 01 09 19 50 999 99.0 99.0  2.93 10.00  7.30 999 1007.1 999.0   6.8 999.0 99.0 99.00
2015 01 09 20 50 999 99.0 99.0  2.83 11.43  7.24 999 1007.2 999.0   6.8 999.0 99.0 99.00
2015 01 09 21 50 999 99.0 99.0  3.01 10.81  7.11 999 1007.4 999.0   6.8 999.0 99.0 99.00
2015 01 09 22 50 999 99.0 99.0  2.94  8.33  7.32 999 1007.4 999.0   6.8 999.0 99.0 99.00
2015 01 09 23 50 999 99.0 99.0  2.61  8.33  7.22 999 1007.7 999.0   6.8 999.0 99.0 99.00
2015 01 10 00 50 999 99.0 99.0  2.75 10.00  7.52 999 1008.0 999.0   6.8 999.0 99.0 99.00
2015 01 10 01 50 999 99.0 99.0  2.43  7.69  7.19 999 1008.2 999.0   6.8 999.0 99.0 99.00
2015 01 10 02 50 999 99.0 99.0  2.59 10.81  7.31 999 1008.6 999.0   6.8 999.0 99.0 99.00
2015 01 10 03 50 999 99.0 99.0  2.74 11.43  7.55 999 1009.0 999.0   6.8 999.0 99.0 99.00
2015 01 10 04 50 999 99.0 99.0  2.60 10.00  7.50 999 1009.5 999.0   6.8 999.0 99.0 99.00
2015 01 10 05 50 999 99.0 99.0  2.73 10.81  7.63 999 1010.0 999.0   6.8 999.0 99.0 99.00
2015 01 10 06 50 999 99.0 99.0  2.68 14.81  7.70 999 1010.3 999.0   6.8 999.0 99.0 99.00
2015 01 10 07 50 999 99.0 99.0  2.74 12.90  7.59 999 1010.4 999.0   6.8 999.0 99.0 99.00
2015 01 10 08 50 999 99.0 99.0  2.37 10.00  6.96 999 1010.7 999.0   6.7 999.0 99.0 99.00
