#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2013 01 05 18 50 192  5.8  7.6  2.79 10.00  7.41 999  994.9   3.8   4.7 999.0 99.0 99.00
2013 01 05 19 50 198  7.7  9.5  3.07  8.33  7.54 999  995.0   3.7   4.7 999.0 99.0 99.00
2013 01 05 20 50 196  8.3 11.4  2.86 10.00  7.22 999  995.0   3.8   4.7 999.0 99.0 99.00
2013 01 05 22 50 191  9.5 11.6  3.14  9.09  6.91 999  994.3   2.5   4.6 999.0 99.0 99.00
2013 01 05 23 50 185 11.4 13.8  3.05 10.00  6.50 999  993.4   2.7   4.5 999.0 99.0 99.00
2013 01 06 00 50 181 12.7 15.6  3.37  9.09  6.45 999  992.4   2.9   4.4 999.0 99.0 99.00
2013 01 06 01 50 207  8.8 11.1  3.47 10.00  6.58 999  992.1   4.1   4.4 999.0 99.0 99.00
2013 01 06 02 50 237  9.1 10.9  3.27 10.00  6.64 999  992.5   4.4   4.4 999.0 99.0 99.00
2013 01 06 03 50 236  9.5 11.9  3.36 10.00  6.56 999  993.5   4.3   4.4 999.0 99.0 99.00
2013 01 06 04 50 232  9.4 11.7  3.17 10.81  6.39 999  993.9   4.1   4.4 999.0 99.0 99.00
2013 01 06 05 50 233 10.1 12.8  3.05 10.00  6.39 999  994.5   4.0   4.4 999.0 99.0 99.00
2013 01 06 06 50 224  9.4 11.3  3.33 10.00  6.78 999  994.9   4.0   4.4 999.0 99.0 99.00
2013 01 06 07 50 236  8.9 11.0  3.09 10.00  6.51 999  995.3   4.0   4.4 999.0 99.0 99.00
2013 01 06 08 50 241  7.1  8.6  3.12 10.00  6.69 999  995.0   3.9   4.4 999.0 99.0 99.00
2013 01 06 09 50 236  5.3  6.7  3.22 10.81  6.85 999  995.3   3.9   4.4 999.0 99.0 99.00
2013 01 06 10 50 207  6.1  7.6  3.05 10.00  6.95 999  995.3   3.9   4.4 999.0 99.0 99.00
2013 01 06 11 50 197  4.1  5.2  2.83  9.09  6.80 999  995.1   3.7   4.4 999.0 99.0 99.00
2013 01 06 12 50 158  5.0  6.1  2.88 10.00  7.00 999  994.5   3.7   4.5 999.0 99.0 99.00
2013 01 06 13 50 155  7.6  8.9  2.95 10.00  7.03 999  993.4   3.6   4.6 999.0 99.0 99.00
2013 01 06 14 50 143  9.1 10.9  2.69  8.33  6.68 999  992.6   3.6   4.7 999.0 99.0 99.00
2013 01 06 15 50 138 10.1 12.3  2.64  9.09  6.30 999  991.1   3.7   4.7 999.0 99.0 99.00
2013 01 06 16 50 131 11.9 14.6  2.99  9.09  6.30 999  989.4   3.8   4.7 999.0 99.0 99.00
2013 01 06 17 50 136 11.3 13.8  2.99 10.00  6.10 999  988.7   4.1   4.7 999.0 99.0 99.00
2013 01 06 18 50 141 10.3 12.7  2.83  8.33  5.72 999  988.1   4.1   4.7 999.0 99.0 99.00
2013 01 06 19 50 200 11.3 13.8  2.94  8.33  5.97 999  987.2   4.7   4.8 999.0 99.0 99.00
2013 01 06 20 50 215 10.7 13.6  2.92 10.00  6.10 999  987.3   4.9   4.8 999.0 99.0 99.00
2013 01 06 21 50 208 10.4 13.7  3.22 12.12  6.53 999  987.5   4.9   4.8 999.0 99.0 99.00
2013 01 06 22 50 211 12.8 17.3  3.08  6.67  6.13 999  987.3   4.8   4.8 999.0 99.0 99.00
2013 01 06 23 50 207 13.7 16.8  3.42  6.67  6.07 999  987.3   4.8   4.7 999.0 99.0 99.00
2013 01 07 00 50 201 11.7 14.0  3.41  7.14  6.34 999  987.6   4.7   4.7 999.0 99.0 99.00
2013 01 07 01 50 198 12.2 15.6  3.46  7.14  6.41 999  987.0   4.8   4.7 999.0 99.0 99.00
2013 01 07 02 50 189 13.3 16.3  3.57  8.33  6.34 999  986.1   4.6   4.8 999.0 99.0 99.00
2013 01 07 03 50 187 14.1 17.7  3.37  8.33  6.32 999  985.3   4.6   4.7 999.0 99.0 99.00
2013 01 07 04 50 198 15.0 19.8  4.05  9.09  6.66 999  985.1   3.2   4.7 999.0 99.0 99.00
2013 01 07 05 50 193 13.0 15.8  4.35  9.09  6.88 999  984.7   4.6   4.7 999.0 99.0 99.00
2013 01 07 06 50 191 15.9 21.1  5.00 10.81  7.24 999  984.2   4.5   4.7 999.0 99.0 99.00
2013 01 07 07 50 197 14.7 17.6  6.29 17.39  8.65 999  984.1   3.8   4.6 999.0 99.0 99.00
2013 01 07 08 50 202 14.0 17.5  7.60 13.79  9.33 999  984.4   3.8   4.6 999.0 99.0 99.00
2013 01 07 09 50 207 13.6 17.0  6.82 16.00  8.91 999  984.6   4.2   4.6 999.0 99.0 99.00
2013 01 07 10 50 210 14.0 17.2  6.55 12.90  9.09 999  984.5   4.1   4.6 999.0 99.0 99.00
2013 01 07 11 50 214 13.4 16.4  6.48 11.43  8.77 999  984.6   3.9   4.6 999.0 99.0 99.00
2013 01 07 12 50 223 14.4 18.8  6.38 16.00  8.81 999  984.4   4.0   4.6 999.0 99.0 99.00
2013 01 07 13 50 217 14.8 19.7  6.91 16.00  9.48 999  984.1   3.9   4.6 999.0 99.0 99.00
2013 01 07 14 50 220 14.4 18.0  6.93 16.00  9.53 999  984.5   3.8   4.5 999.0 99.0 99.00
2013 01 07 15 50 224 14.5 18.0  5.89 16.00  8.92 999  984.8   3.9   4.5 999.0 99.0 99.00
2013 01 07 16 50 230 14.1 19.4  6.67 14.81  9.03 999  985.4   3.9   4.5 999.0 99.0 99.00
2013 01 07 17 50 229 14.5 18.7  6.60 11.43  8.90 999  986.2   3.8   4.5 999.0 99.0 99.00
2013 01 07 18 50 232 14.1 17.9  6.35 10.81  8.64 999  987.2   3.7   4.8 999.0 99.0 99.00
2013 01 07 19 50 235 14.2 18.7  6.20 13.79  8.51 999  988.3   3.9   4.8 999.0 99.0 99.00
2013 01 07 20 50 231 15.1 18.4  5.73 10.00  7.79 999  988.9   3.8   4.7 999.0 99.0 99.00
2013 01 07 21 50 238 14.3 18.2  6.66 13.79  8.59 999  989.5   2.7   4.7 999.0 99.0 99.00
2013 01 07 22 50 235 13.5 16.9  6.17 12.90  8.34 999  989.8   3.7   4.7 999.0 99.0 99.00
2013 01 07 23 50 231 11.9 14.1  6.23 10.81  8.10 999  990.3   3.6   4.7 999.0 99.0 99.00
2013 01 08 00 50 237 11.6 15.3  5.74 12.90  7.89 999  990.8   3.5   4.7 999.0 99.0 99.00
2013 01 08 01 50 238 12.6 15.9  5.85 12.90  8.40 999  991.0   3.7   4.8 999.0 99.0 99.00
2013 01 08 02 50 232 12.7 15.4  4.66 10.00  7.52 999  991.1   3.8   4.8 999.0 99.0 99.00
2013 01 08 03 50 232 12.4 15.8  5.21 12.90  7.89 999  991.4   3.5   4.8 999.0 99.0 99.00
