@relation p1_1.arff

@attribute air numeric
@attribute Class_WDIR {A}

@data
278.73781,A
277.892263,A
279.141151,A
279.616415,A
278.282816,A
278.037263,A
278.710327,A
278.341124,A
277.914194,A
278.243901,A
278.718097,A
