@relation Station_46001_2018_02_23_10_23_45_1.arff

@attribute air numeric
@attribute Class_WDIR {A}

@data
285.232075,A
284.843565,A
285.815671,A
285.015749,A
285.368843,A
285.477956,A
286.091301,A
286.4951,A
286.164518,A
285.461636,A
285.959689,A
285.497288,A
285.237714,A
285.196236,A
284.921967,A
284.449268,A
285.45038,A
285.117301,A
285.215419,A
285.489063,A
285.058502,A
284.876473,A
284.771023,A
284.296367,A
284.211983,A
284.160324,A
284.54073,A
284.48134,A
285.046685,A
285.078337,A
285.432484,A
285.729714,A
285.425374,A
285.223301,A
285.141353,A
284.986677,A
284.641047,A
284.745904,A
285.488409,A
286.388783,A
285.98021,A
284.951744,A
284.980517,A
284.095801,A
284.36818,A
283.885026,A
284.815455,A
283.965962,A
283.1397,A
283.213233,A
283.390512,A
283.557667,A
282.738288,A
282.556837,A
283.140508,A
283.946855,A
284.400555,A
284.249834,A
284.213446,A
284.467422,A
283.619369,A
283.787929,A
283.723833,A
283.821402,A
284.475697,A
284.60609,A
284.640737,A
283.894614,A
283.780989,A
283.734275,A
283.760901,A
283.815987,A
283.811699,A
284.252804,A
284.120476,A
283.623956,A
283.74314,A
283.862796,A
284.125367,A
284.202792,A
284.389878,A
284.090203,A
284.454029,A
285.674924,A
285.992512,A
284.238567,A
283.90093,A
283.608778,A
283.468955,A
283.101382,A
283.655875,A
283.980266,A
284.375416,A
284.108207,A
284.771939,A
284.972504,A
285.577889,A
285.957941,A
286.076417,A
285.313382,A
285.470971,A
284.905534,A
284.742285,A
284.083233,A
284.154215,A
284.594329,A
285.280231,A
284.877381,A
284.662843,A
284.587461,A
284.439008,A
283.77378,A
283.496906,A
283.960914,A
283.621248,A
283.126704,A
282.773519,A
282.111815,A
282.325241,A
283.460829,A
283.81196,A
283.296199,A
282.964813,A
282.822269,A
283.157893,A
283.167101,A
282.243384,A
283.242942,A
282.370715,A
283.26119,A
283.525352,A
282.839612,A
282.260328,A
281.485884,A
280.964431,A
280.443508,A
280.237175,A
280.317128,A
280.997438,A
280.054985,A
280.199565,A
280.429631,A
280.689965,A
280.65663,A
280.618731,A
281.626708,A
281.916697,A
281.838462,A
281.983912,A
282.449283,A
282.434272,A
282.56174,A
283.068328,A
283.776569,A
283.785643,A
283.857076,A
283.704345,A
283.914775,A
283.303398,A
283.397195,A
283.509547,A
283.481528,A
282.965718,A
283.147756,A
282.627353,A
282.927082,A
282.80553,A
283.093081,A
282.198508,A
282.748215,A
281.373331,A
281.59532,A
281.398072,A
281.582206,A
281.423604,A
280.876238,A
280.68988,A
281.709408,A
281.237024,A
281.916044,A
281.0472,A
281.313147,A
282.106355,A
282.420334,A
282.325719,A
282.480798,A
282.785056,A
283.090353,A
282.878804,A
282.429991,A
282.720237,A
282.313541,A
282.111655,A
282.356299,A
282.312074,A
281.614078,A
280.609972,A
280.144504,A
279.251654,A
279.462785,A
279.294227,A
278.940721,A
278.498983,A
277.219582,A
277.021541,A
276.907098,A
276.063149,A
276.955262,A
277.14096,A
277.821043,A
277.788759,A
277.705513,A
277.70843,A
278.200877,A
278.075577,A
278.204105,A
278.438229,A
278.641676,A
278.978508,A
279.331978,A
278.976033,A
279.498373,A
279.257721,A
279.358544,A
279.004087,A
279.506805,A
278.461097,A
278.588546,A
279.01628,A
278.818972,A
278.706831,A
278.769988,A
278.746418,A
279.450681,A
279.436127,A
280.289891,A
279.954206,A
280.741727,A
280.445792,A
279.968785,A
280.06046,A
280.504104,A
280.128664,A
279.774128,A
279.632746,A
279.121008,A
279.591416,A
279.11563,A
279.544991,A
279.478366,A
278.916044,A
279.310289,A
279.443905,A
279.521511,A
279.404718,A
279.247302,A
279.23981,A
279.089902,A
278.855285,A
277.161881,A
275.743191,A
275.534482,A
275.153861,A
274.892831,A
274.809464,A
274.749869,A
275.133817,A
279.30412,A
280.889899,A
280.911157,A
280.994093,A
280.077162,A
279.685798,A
279.465375,A
279.891933,A
280.041377,A
279.981443,A
279.700467,A
279.843556,A
280.213154,A
279.878282,A
279.147417,A
278.392796,A
277.54949,A
277.310765,A
276.232915,A
276.738512,A
277.478304,A
278.933575,A
278.675825,A
278.083069,A
278.310158,A
277.540593,A
278.220791,A
279.388956,A
280.287807,A
280.496562,A
280.49113,A
280.438483,A
280.249233,A
280.344904,A
280.715385,A
280.399465,A
280.136604,A
280.159696,A
279.874636,A
279.982502,A
279.772277,A
279.973744,A
280.373715,A
279.991784,A
280.236026,A
279.441677,A
279.116368,A
279.056233,A
279.823847,A
280.514452,A
279.711006,A
278.939853,A
279.62382,A
279.380669,A
279.209141,A
279.00545,A
279.422914,A
279.017652,A
279.728026,A
280.779889,A
279.769944,A
278.132587,A
277.07421,A
276.23471,A
276.710253,A
276.356497,A
276.463154,A
276.180564,A
276.633753,A
276.985722,A
277.200038,A
277.704467,A
278.522216,A
278.915682,A
279.331456,A
279.28039,A
279.652526,A
279.160373,A
279.213744,A
278.990245,A
279.163036,A
279.570767,A
279.791415,A
279.409965,A
278.762118,A
279.950148,A
280.117586,A
280.094669,A
279.856317,A
279.478753,A
278.671963,A
276.893948,A
277.230326,A
277.724951,A
278.39529,A
279.05145,A
279.517117,A
279.389448,A
279.377993,A
279.386433,A
279.69943,A
279.466226,A
279.620786,A
279.379391,A
279.53359,A
279.519364,A
279.746746,A
280.445252,A
280.910765,A
280.29295,A
279.814984,A
279.049688,A
279.208597,A
278.441853,A
279.736045,A
279.378989,A
278.841762,A
277.412929,A
276.85948,A
276.36059,A
276.581807,A
276.401192,A
276.525593,A
276.616193,A
276.477223,A
275.911792,A
275.496283,A
275.522542,A
277.112885,A
276.50984,A
276.412383,A
276.085427,A
275.952268,A
275.004613,A
274.617408,A
274.55696,A
274.042492,A
274.146542,A
274.231316,A
275.849657,A
276.143449,A
276.081592,A
275.6914,A
275.019308,A
275.776335,A
277.359562,A
278.490271,A
279.450952,A
279.699652,A
279.352054,A
278.696379,A
279.399321,A
279.108449,A
278.903397,A
278.377631,A
277.996271,A
278.259245,A
277.77971,A
277.525097,A
277.166365,A
278.385382,A
278.967173,A
279.457075,A
278.756862,A
279.698464,A
278.988831,A
278.674009,A
278.628267,A
278.86629,A
277.955998,A
277.332694,A
277.263258,A
276.668652,A
276.747936,A
276.71795,A
275.80756,A
273.850964,A
272.082673,A
272.292275,A
273.198064,A
273.886232,A
273.672832,A
274.550421,A
274.668103,A
275.075149,A
275.370327,A
276.787807,A
276.478118,A
277.290486,A
276.347635,A
275.997066,A
276.891461,A
276.787162,A
275.589069,A
274.593305,A
274.23769,A
275.542756,A
275.303819,A
275.345243,A
274.627868,A
275.4082,A
274.760228,A
274.868435,A
274.688044,A
275.447194,A
274.737792,A
273.917354,A
275.114923,A
274.975738,A
275.665288,A
275.615737,A
276.058801,A
275.212651,A
274.401246,A
274.364826,A
274.351541,A
275.054664,A
275.794409,A
277.524687,A
278.161912,A
278.708,A
278.396646,A
278.415383,A
277.885224,A
277.289499,A
277.856124,A
277.894919,A
277.69509,A
277.975314,A
278.641495,A
278.857527,A
278.000932,A
279.26752,A
279.708662,A
278.42325,A
278.152151,A
278.843198,A
278.423983,A
278.031749,A
278.316291,A
